gerne,interpret,album,release_year,songtitle
Pop,Bosse,Wartesaal,2011,Die Nacht
Pop,Bosse,Wartesaal,2011,Nach Haus
Pop,Bosse,Wartesaal,2011,Du federst
Pop,Bosse,Wartesaal,2011,Wende der Zeit
Pop,Bosse,Wartesaal,2011,Die Regie
Pop,Bosse,Wartesaal,2011,Roboterbeine
Pop,Bosse,Wartesaal,2011,Yipi
Pop,Bosse,Wartesaal,2011,Nächsten Sommer
Pop,Bosse,Kraniche,2013,Kraniche
Pop,Bosse,Kraniche,2013,Schönste Zeit
Pop,Bosse,Kraniche,2013,Vier Leben
Pop,Bosse,Kraniche,2013,So oder so
Pop,Bosse,Kraniche,2013,Istanbul
Pop,Bosse,Kraniche,2013,Alter Affe Angst
Pop,Bosse,Kraniche,2013,Vive la danse
Pop,Bosse,Kraniche,2013,Familienfest
Pop,Bosse,Kraniche,2013,Brillant
Pop,Bosse,Kraniche,2013,Müßiggang
Pop,Bosse,Kraniche,2013,Sophie
Pop,Bosse,Kraniche,2013,Konfetti
Pop,Clueso,Gute Musik,2004,Nacht Unterwegs
Pop,Clueso,Gute Musik,2004,Das Level
Pop,Clueso,Gute Musik,2004,Uh Girl
Pop,Clueso,Gute Musik,2004,Gute Musik
Pop,Clueso,Gute Musik,2004,Dort wo du wohnst
Pop,Clueso,Gute Musik,2004,Es wird heiss
Pop,Clueso,Gute Musik,2004,Love the People
Pop,Clueso,Gute Musik,2004,Kalter Kaffee
Pop,Clueso,Gute Musik,2004,Bescheid
Pop,Clueso,Gute Musik,2004,Vier kleine Wände
Pop,Clueso,Gute Musik,2004,Pizzaschachteln
Pop,Clueso,Gute Musik,2004,Vergessen ist so leicht
Pop,Clueso,Gute Musik,2004,Fanpost
Pop,Clueso,Gute Musik,2004,Egal wo
Pop,Clueso,Gute Musik,2004,Ich geh heim
Pop,Clueso,Gute Musik,2004,Herz
Pop,Clueso,Gute Musik,2004,Kein Bock zu geh'n
Pop,Clueso,Weit weg,2006,Frische Luft
Pop,Clueso,Weit weg,2006,Sterblich
Pop,Clueso,Weit weg,2006,Bleib hier
Pop,Clueso,Weit weg,2006,Weit weg
Pop,Clueso,Weit weg,2006,Viel gesehen
Pop,Clueso,Weit weg,2006,Winter Sommer
Pop,Clueso,Weit weg,2006,Ey Tino
Pop,Clueso,Weit weg,2006,Überall bist du
Pop,Clueso,Weit weg,2006,Hirn ein
Pop,Clueso,Weit weg,2006,Crash
Pop,Clueso,Weit weg,2006,Schwer
Pop,Clueso,Weit weg,2006,Chicago
Pop,Clueso,Weit weg,2006,Morgen Gestern
Pop,Clueso,Weit weg,2006,Mein Bestes
Pop,Clueso,Weit weg,2006,Out of Space
Pop,Clueso,So sehr dabei,2008,Barfuss
Pop,Clueso,So sehr dabei,2008,Augen zu
Pop,Clueso,So sehr dabei,2008,Niemand an dich denkt
Pop,Clueso,So sehr dabei,2008,Wir wolln Sommer
Pop,Clueso,So sehr dabei,2008,Geisterstadt
Pop,Clueso,So sehr dabei,2008,Mitnehm
Pop,Clueso,So sehr dabei,2008,Gewinner
Pop,Clueso,So sehr dabei,2008,Schreibe dir
Pop,Clueso,So sehr dabei,2008,Keinen Zentimeter
Pop,Clueso,So sehr dabei,2008,So sein wie du
Pop,Clueso,So sehr dabei,2008,Utopie
Pop,Clueso,So sehr dabei,2008,Verlierer
Pop,Clueso,So sehr dabei,2008,Jede Stadt
Pop,Clueso,So sehr dabei,2008,So sehr dabei
Pop,Clueso,So sehr dabei,2008,Abspann (Weck sie nicht auf)
Pop,Clueso,An und für sich,2011,Zu schnell vorbei
Pop,Clueso,An und für sich,2011,Beinah
Pop,Clueso,An und für sich,2011,Straßen sind leer
Pop,Clueso,An und für sich,2011,Müsste gehen
Pop,Clueso,An und für sich,2011,Ey der Regen
Pop,Clueso,An und für sich,2011,Dreh dich
Pop,Clueso,An und für sich,2011,Stern
Pop,Clueso,An und für sich,2011,Herz
Pop,Clueso,An und für sich,2011,Baumkrone
Pop,Clueso,An und für sich,2011,Halt mich fern
Pop,Clueso,An und für sich,2011,Das alte Haus
Pop,Clueso,An und für sich,2011,Erklär mir
Pop,Clueso,An und für sich,2011,Du bleibst
Pop,Clueso,An und für sich,2011,Nur bei dir
Pop,Clueso,An und für sich,2011,Ende
Pop,Clueso,Stadtrandlichter,2014,Pack meine Sachen
Pop,Clueso,Stadtrandlichter,2014,Freidrehen
Pop,Clueso,Stadtrandlichter,2014,Alles leuchtet
Pop,Clueso,Stadtrandlichter,2014,Wach auf
Pop,Clueso,Stadtrandlichter,2014,Stadtrandlichter
Pop,Clueso,Stadtrandlichter,2014,Unter Strom
Pop,Clueso,Stadtrandlichter,2014,Okay
Pop,Clueso,Stadtrandlichter,2014,Lass den Kopf nicht hängen
Pop,Clueso,Stadtrandlichter,2014,Sein Song
Pop,Clueso,Stadtrandlichter,2014,Still
Pop,Clueso,Stadtrandlichter,2014,Ich falle noch
Pop,Clueso,Stadtrandlichter,2014,Geradeaus
Pop,Clueso,Stadtrandlichter,2014,Galerie
Pop,Clueso,Stadtrandlichter,2014,Nebenbei
Pop,Clueso,Neuanfang,2016,Neuanfang
Pop,Clueso,Neuanfang,2016,Achterbahn
Pop,Clueso,Neuanfang,2016,Neue Luft
Pop,Clueso,Neuanfang,2016,Erinnerungen
Pop,Clueso,Neuanfang,2016,Wenn Du Liebst
Pop,Clueso,Neuanfang,2016,Lass Sie Reden
Pop,Clueso,Neuanfang,2016,Anderssein
Pop,Clueso,Neuanfang,2016,Gordo
Pop,Clueso,Neuanfang,2016,Jeder Lebt Für Sich Allein
Pop,Clueso,Neuanfang,2016,Sorgenfrei
Pop,Frittenbude,Nachtigall,2008,Hildegard
Pop,Frittenbude,Nachtigall,2008,Ein Affentanz
Pop,Frittenbude,Nachtigall,2008,Pandabär
Pop,Frittenbude,Nachtigall,2008,Mindestens In 1000 Jahren
Pop,Frittenbude,Nachtigall,2008,Superlude
Pop,Frittenbude,Nachtigall,2008,Superschnitzellove
Pop,Frittenbude,Nachtigall,2008,Irgendwie Lieb Ich Das
Pop,Frittenbude,Nachtigall,2008,Die Nacht
Pop,Frittenbude,Nachtigall,2008,Es Dreht Sich Alles Um Uns Beide
Pop,Frittenbude,Nachtigall,2008,Electrofikkkke
Pop,Frittenbude,Nachtigall,2008,Was Ist Nur Mit Dir Passiert
Pop,Frittenbude,Nachtigall,2008,Das Licht
Pop,Frittenbude,Nachtigall,2008,Zucker
Pop,Frittenbude,Nachtigall,2008,Der Tag
Pop,Frittenbude,Katzengold,2010,Onychectomy
Pop,Frittenbude,Katzengold,2010,Unkenrufe
Pop,Frittenbude,Katzengold,2010,Schandenschmuck
Pop,Frittenbude,Katzengold,2010,Und täglich grüßt das Murmeltier
Pop,Frittenbude,Katzengold,2010,Ob es reicht sie zu finden
Pop,Frittenbude,Katzengold,2010,Durch den Wind
Pop,Frittenbude,Katzengold,2010,Vom Fliegen
Pop,Frittenbude,Katzengold,2010,Fetter als Gelb
Pop,Frittenbude,Katzengold,2010,Jetzt ist der Moment
Pop,Frittenbude,Katzengold,2010,Katzengold
Pop,Frittenbude,Katzengold,2010,Seifenblase
Pop,Frittenbude,Katzengold,2010,Ein Mensch rennt
Pop,Frittenbude,Katzengold,2010,Bilder mit Katze
Pop,Frittenbude,Delfinarium,2012,Von allem zu viel
Pop,Frittenbude,Delfinarium,2012,Nur wegen dem Eiskonfekt
Pop,Frittenbude,Delfinarium,2012,Wings
Pop,Frittenbude,Delfinarium,2012,Deutschland 500
Pop,Frittenbude,Delfinarium,2012,Aufregende Farben
Pop,Frittenbude,Delfinarium,2012,Heute nur einmal
Pop,Frittenbude,Delfinarium,2012,Heimatlos
Pop,Frittenbude,Delfinarium,2012,Innere Altmark
Pop,Frittenbude,Delfinarium,2012,Erlös dich von dem Schrott
Pop,Frittenbude,Delfinarium,2012,Zeitmaschinen aus Müll
Pop,Frittenbude,Delfinarium,2012,So weit von Paris
Pop,Herbert Grönemeyer,Grönemeyer,1979,Guten Morgen
Pop,Herbert Grönemeyer,Grönemeyer,1979,Pompeji
Pop,Herbert Grönemeyer,Grönemeyer,1979,Verflucht - es tut mir weh
Pop,Herbert Grönemeyer,Grönemeyer,1979,Mensch - ich hau ab
Pop,Herbert Grönemeyer,Grönemeyer,1979,Spring ins wilde Leben
Pop,Herbert Grönemeyer,Grönemeyer,1979,Julie
Pop,Herbert Grönemeyer,Grönemeyer,1979,Hier in dem Lokal
Pop,Herbert Grönemeyer,Grönemeyer,1979,Ich bin ein Spieler
Pop,Herbert Grönemeyer,Grönemeyer,1979,Der Fremde
Pop,Herbert Grönemeyer,Grönemeyer,1979,Mein Konzert
Pop,Herbert Grönemeyer,Zwo,1980,Stau
Pop,Herbert Grönemeyer,Zwo,1980,Ich hab dich lieb
Pop,Herbert Grönemeyer,Zwo,1980,Commander
Pop,Herbert Grönemeyer,Zwo,1980,Bruno
Pop,Herbert Grönemeyer,Zwo,1980,Ich bin wieder soweit
Pop,Herbert Grönemeyer,Zwo,1980,Kairo
Pop,Herbert Grönemeyer,Zwo,1980,Besser du gehst jetzt
Pop,Herbert Grönemeyer,Zwo,1980,Helga
Pop,Herbert Grönemeyer,Zwo,1980,All die Jahre
Pop,Herbert Grönemeyer,Zwo,1980,Muskeln
Pop,Herbert Grönemeyer,Total egal,1982,Total egal
Pop,Herbert Grönemeyer,Total egal,1982,Currywurst
Pop,Herbert Grönemeyer,Total egal,1982,Anna
Pop,Herbert Grönemeyer,Total egal,1982,So gut
Pop,Herbert Grönemeyer,Total egal,1982,Frag mich nicht
Pop,Herbert Grönemeyer,Total egal,1982,Kino
Pop,Herbert Grönemeyer,Total egal,1982,Darf ich mal
Pop,Herbert Grönemeyer,Gemischte Gefühle,1983,Kaufen
Pop,Herbert Grönemeyer,Gemischte Gefühle,1983,Komm zurück
Pop,Herbert Grönemeyer,Gemischte Gefühle,1983,Kadett
Pop,Herbert Grönemeyer,Gemischte Gefühle,1983,Moccaaugen
Pop,Herbert Grönemeyer,Gemischte Gefühle,1983,Etwas Warmes
Pop,Herbert Grönemeyer,Gemischte Gefühle,1983,Onur
Pop,Herbert Grönemeyer,Gemischte Gefühle,1983,Diamant
Pop,Herbert Grönemeyer,Gemischte Gefühle,1983,Hallo
Pop,Herbert Grönemeyer,4630 Bochum,1984,Bochum
Pop,Herbert Grönemeyer,4630 Bochum,1984,Männer
Pop,Herbert Grönemeyer,4630 Bochum,1984,Flugzeuge im Bauch
Pop,Herbert Grönemeyer,4630 Bochum,1984,Alkohol
Pop,Herbert Grönemeyer,4630 Bochum,1984,Amerika
Pop,Herbert Grönemeyer,4630 Bochum,1984,Für dich da
Pop,Herbert Grönemeyer,4630 Bochum,1984,Jetzt oder nie
Pop,Herbert Grönemeyer,4630 Bochum,1984,Fangfragen
Pop,Herbert Grönemeyer,4630 Bochum,1984,Erwischt
Pop,Herbert Grönemeyer,4630 Bochum,1984,Mambo
Pop,Herbert Grönemeyer,Sprünge,1986,Kinder an die Macht
Pop,Herbert Grönemeyer,Sprünge,1986,Tanzen
Pop,Herbert Grönemeyer,Sprünge,1986,Mehr geht leider nicht
Pop,Herbert Grönemeyer,Sprünge,1986,Maß aller Dinge
Pop,Herbert Grönemeyer,Sprünge,1986,Nur noch so
Pop,Herbert Grönemeyer,Sprünge,1986,Unterwegs
Pop,Herbert Grönemeyer,Sprünge,1986,Lächeln
Pop,Herbert Grönemeyer,Sprünge,1986,Viel zu viel
Pop,Herbert Grönemeyer,Sprünge,1986,Einmal
Pop,Herbert Grönemeyer,Sprünge,1986,Angst
Pop,Herbert Grönemeyer,Luxus,1991,Hartgeld
Pop,Herbert Grönemeyer,Luxus,1991,Deine Liebe klebt
Pop,Herbert Grönemeyer,Luxus,1991,Video
Pop,Herbert Grönemeyer,Luxus,1991,Ich will mehr
Pop,Herbert Grönemeyer,Luxus,1991,Haarscharf
Pop,Herbert Grönemeyer,Luxus,1991,Luxus
Pop,Herbert Grönemeyer,Luxus,1991,Marie
Pop,Herbert Grönemeyer,Luxus,1991,Freunde
Pop,Herbert Grönemeyer,Luxus,1991,Sie
Pop,Herbert Grönemeyer,Chaos,1993,Chaos
Pop,Herbert Grönemeyer,Chaos,1993,Die Härte
Pop,Herbert Grönemeyer,Chaos,1993,Land unter
Pop,Herbert Grönemeyer,Chaos,1993,Fisch im Netz
Pop,Herbert Grönemeyer,Chaos,1993,Keine Garantie
Pop,Herbert Grönemeyer,Chaos,1993,Grönland
Pop,Herbert Grönemeyer,Chaos,1993,Ich geb' nichts mehr
Pop,Herbert Grönemeyer,Chaos,1993,Morgenrot
Pop,Herbert Grönemeyer,Chaos,1993,Kein Verlust
Pop,Herbert Grönemeyer,Chaos,1993,Die Welle
Pop,Herbert Grönemeyer,Mensch,2002,Mensch
Pop,Herbert Grönemeyer,Mensch,2002,Neuland
Pop,Herbert Grönemeyer,Mensch,2002,Der Weg
Pop,Herbert Grönemeyer,Mensch,2002,Viertel vor
Pop,Herbert Grönemeyer,Mensch,2002,Unbewohnt
Pop,Herbert Grönemeyer,Mensch,2002,Dort und Hier
Pop,Herbert Grönemeyer,Mensch,2002,Blick zurück
Pop,Herbert Grönemeyer,Mensch,2002,Kein Pokal
Pop,Herbert Grönemeyer,Mensch,2002,Zum Meer
Pop,Herbert Grönemeyer,Mensch,2002,Demo (Letzter Tag)
Pop,Herbert Grönemeyer,12,2007,Stück vom Himmel
Pop,Herbert Grönemeyer,12,2007,Du bist die
Pop,Herbert Grönemeyer,12,2007,Marlene
Pop,Herbert Grönemeyer,12,2007,Leb in meiner Welt
Pop,Herbert Grönemeyer,12,2007,Ich versteh
Pop,Herbert Grönemeyer,12,2007,Ohne Dich
Pop,Herbert Grönemeyer,12,2007,Spur
Pop,Herbert Grönemeyer,12,2007,Zieh deinen Weg
Pop,Herbert Grönemeyer,12,2007,Zur Nacht
Pop,Herbert Grönemeyer,12,2007,Liebe liegt nicht
Pop,Herbert Grönemeyer,Dauernd jetzt,2014,Morgen
Pop,Herbert Grönemeyer,Dauernd jetzt,2014,Wunderbare Leere
Pop,Herbert Grönemeyer,Dauernd jetzt,2014,Uniform
Pop,Herbert Grönemeyer,Dauernd jetzt,2014,Fang mich an
Pop,Herbert Grönemeyer,Dauernd jetzt,2014,Roter Mond
Pop,Herbert Grönemeyer,Dauernd jetzt,2014,Der Löw
Pop,Herbert Grönemeyer,Dauernd jetzt,2014,Unter Tage
Pop,Herbert Grönemeyer,Dauernd jetzt,2014,Verloren
Pop,Herbert Grönemeyer,Dauernd jetzt,2014,Unser Land
Pop,Herbert Grönemeyer,Dauernd jetzt,2014,Ich lieb mich durch
Pop,Herbert Grönemeyer,Dauernd jetzt,2014,Einverstanden
Pop,Herbert Grönemeyer,Dauernd jetzt,2014,Feuerlicht
Pop,Herbert Grönemeyer,Dauernd jetzt,2014,Pilot
Pop,Herbert Grönemeyer,Dauernd jetzt,2014,Neuer Tag
Pop,Herbert Grönemeyer,Dauernd jetzt,2014,Fang mich an
Pop,Herbert Grönemeyer,Tumult,2018,Sekundenglück
Pop,Herbert Grönemeyer,Tumult,2018,Taufrisch
Pop,Herbert Grönemeyer,Tumult,2018,Mein Lebensstrahlen
Pop,Herbert Grönemeyer,Tumult,2018,Bist du da
Pop,Herbert Grönemeyer,Tumult,2018,Fall der Fälle
Pop,Herbert Grönemeyer,Tumult,2018,Warum
Pop,Herbert Grönemeyer,Tumult,2018,Leichtsinn und Liebe
Pop,Herbert Grönemeyer,Tumult,2018,Der Held
Pop,Herbert Grönemeyer,Tumult,2018,Verwandt
Pop,Herbert Grönemeyer,Tumult,2018,Wartezimmer der Welt
Pop,Herbert Grönemeyer,Tumult,2018,Und immer
Pop,Herbert Grönemeyer,Tumult,2018,Lebe mit mir los
Pop,Juli,Es ist Juli,2004,Warum
Pop,Juli,Es ist Juli,2004,Sterne
Pop,Juli,Es ist Juli,2004,Geile Zeit
Pop,Juli,Es ist Juli,2004,Tage wie dieser
Pop,Juli,Es ist Juli,2004,Tränenschwer
Pop,Juli,Es ist Juli,2004,Perfekte Welle
Pop,Juli,Es ist Juli,2004,Regen und Meer
Pop,Juli,Es ist Juli,2004,November
Pop,Juli,Es ist Juli,2004,Anders
Pop,Juli,Es ist Juli,2004,Kurz vor der Sonne
Pop,Juli,Es ist Juli,2004,Ich verschwinde
Pop,Juli,Es ist Juli,2004,Wenn Du lachst
Pop,Juli,Ein neuer Tag,2006,Dieses Leben
Pop,Juli,Ein neuer Tag,2006,Du nimmst mir die Sicht
Pop,Juli,Ein neuer Tag,2006,Bist Du das
Pop,Juli,Ein neuer Tag,2006,Zerrissen
Pop,Juli,Ein neuer Tag,2006,Ein neuer Tag
Pop,Juli,Ein neuer Tag,2006,Wer von euch
Pop,Juli,Ein neuer Tag,2006,Wir beide
Pop,Juli,Ein neuer Tag,2006,Egal wohin
Pop,Juli,Ein neuer Tag,2006,Das gute Gefühl
Pop,Juli,Ein neuer Tag,2006,Am Besten sein
Pop,Juli,Ein neuer Tag,2006,Wenn Du mich lässt
Pop,Juli,Ein neuer Tag,2006,Ein Gruß
Pop,Juli,In Love,2010,Immer wenn es dunkel wird
Pop,Juli,In Love,2010,Süchtig
Pop,Juli,In Love,2010,Eisenherz
Pop,Juli,In Love,2010,Woanders zu Hause
Pop,Juli,In Love,2010,Mit verbundenen Augen
Pop,Juli,In Love,2010,Elektrisches Gefühl
Pop,Juli,In Love,2010,Ich bin In Love (Paris)
Pop,Juli,In Love,2010,Du lügst so schön
Pop,Juli,In Love,2010,Maschinen
Pop,Juli,In Love,2010,Jessica
Pop,Juli,In Love,2010,Die Sterne fallen
Pop,Juli,In Love,2010,Seenot
Pop,Mark Forster,Karton,2012,Auf dem Weg
Pop,Mark Forster,Karton,2012,Karton
Pop,Mark Forster,Karton,2012,Zu dir (Weit weg)
Pop,Mark Forster,Karton,2012,Wo ist dein Feuer
Pop,Mark Forster,Karton,2012,Nur du
Pop,Mark Forster,Karton,2012,Die kleinen Dinge
Pop,Mark Forster,Karton,2012,Sie ist weg
Pop,Mark Forster,Karton,2012,Alles wird gut
Pop,Mark Forster,Karton,2012,Du fliegst davon
Pop,Mark Forster,Karton,2012,Froh sein
Pop,Mark Forster,Karton,2012,Bergab
Pop,Mark Forster,Karton,2012,Du und ich
Pop,Mark Forster,Karton,2012,So spät
Pop,Mark Forster,Bauch und Kopf,2014,Au Revoir
Pop,Mark Forster,Bauch und Kopf,2014,Königin Schwermut
Pop,Mark Forster,Bauch und Kopf,2014,Immer immer gleich
Pop,Mark Forster,Bauch und Kopf,2014,Zu oft
Pop,Mark Forster,Bauch und Kopf,2014,Flash mich
Pop,Mark Forster,Bauch und Kopf,2014,Hundert Stunden
Pop,Mark Forster,Bauch und Kopf,2014,Bauch und Kopf
Pop,Mark Forster,Bauch und Kopf,2014,Hallo
Pop,Mark Forster,Bauch und Kopf,2014,Oh Love
Pop,Mark Forster,Bauch und Kopf,2014,Geisterjäger
Pop,Mark Forster,Bauch und Kopf,2014,Ich trink auf dich
Pop,Mark Forster,Bauch und Kopf,2014,Wer du bist
Pop,Mark Forster,Tape,2016,Spul zurück
Pop,Mark Forster,Tape,2016,Sowieso
Pop,Mark Forster,Tape,2016,Schöner Scherbenhaufen
Pop,Mark Forster,Tape,2016,Was Ernstes
Pop,Mark Forster,Tape,2016,Wir sind groß
Pop,Mark Forster,Tape,2016,Da fährt ein Bus
Pop,Mark Forster,Tape,2016,Chöre
Pop,Mark Forster,Tape,2016,Weiter (Right Now)
Pop,Mark Forster,Tape,2016,Willkommen zurück
Pop,Mark Forster,Tape,2016,Natalie
Pop,Mark Forster,Tape,2016,Selfie
Pop,Mark Forster,Tape,2016,Die beste Nacht
Pop,Mark Forster,Tape,2016,Für immer Forever
Pop,Mark Forster,Tape,2016,Flüsterton
Pop,Mark Forster,Liebe,2018,Comeback
Pop,Mark Forster,Liebe,2018,Einmal
Pop,Mark Forster,Liebe,2018,Liebe
Pop,Mark Forster,Liebe,2018,Was du nicht tust
Pop,Mark Forster,Liebe,2018,194 Länder
Pop,Mark Forster,Liebe,2018,747
Pop,Mark Forster,Liebe,2018,Danke Danke
Pop,Mark Forster,Liebe,2018,Nimmerland
Pop,Mark Forster,Liebe,2018,Killer
Pop,Mark Forster,Liebe,2018,Genau wie du
