gerne,interpret,album,release_year,songtitle
Schlager,Dieter Thomas Kuhn,Mein Leben für die Musik,1995,Tür an Tür mit Alice
Schlager,Dieter Thomas Kuhn,Mein Leben für die Musik,1995,Griechischer Wein
Schlager,Dieter Thomas Kuhn,Mein Leben für die Musik,1995,Fiesta Mexicana
Schlager,Dieter Thomas Kuhn,Mein Leben für die Musik,1995,Michaela
Schlager,Dieter Thomas Kuhn,Mein Leben für die Musik,1995,Eine neue Liebe ist wie ein neues Leben
Schlager,Dieter Thomas Kuhn,Mein Leben für die Musik,1995,Anita
Schlager,Dieter Thomas Kuhn,Mein Leben für die Musik,1995,Tanze Samba mit mir
Schlager,Dieter Thomas Kuhn,Mein Leben für die Musik,1995,Ti amo
Schlager,Dieter Thomas Kuhn,Mein Leben für die Musik,1995,Tränen lügen nicht
Schlager,Dieter Thomas Kuhn,Mein Leben für die Musik,1995,Fremde oder Freunde
Schlager,Guildo Horn,Sternstunde der Zärtlichkeit,1995,Skateboardrebell
Schlager,Guildo Horn,Danke!,1997,Danke!
Schlager,Heino,Heino,1996,Hey Capello
Schlager,Heino,Heino,1996,13 Mann und ein Kapitän
Schlager,Heino,... Und Sehnsucht uns begleitet,1968,Ein Heller und ein Batzen
Schlager,Heino,Seine großen Erfolge ,1970,13 Mann und ein Kapitän
Schlager,Heino,Die Stimme der Heimat,1986,Blau blüht der Enzian
Schlager,Heino,Die Stimme der Heimat,1986,"Caramba, Caracho, Ein Whisky"
Schlager,Helene Fischer,Von hier bis unendlich,2006,Von hier bis unendlich
Schlager,Helene Fischer,Von hier bis unendlich,2006,Du triffst mitten ins Herz
Schlager,Helene Fischer,Von hier bis unendlich,2006,Und morgen früh küss ich dich wach
Schlager,Helene Fischer,Von hier bis unendlich,2006,Einfach reden oder so
Schlager,Helene Fischer,Von hier bis unendlich,2006,Feuer am Horizont
Schlager,Helene Fischer,Von hier bis unendlich,2006,Am Ende sind wir stark genug
Schlager,Helene Fischer,Von hier bis unendlich,2006,Solang dein Herz noch für mich schlägt
Schlager,Helene Fischer,Von hier bis unendlich,2006,Manchmal kommt die Liebe einfach so
Schlager,Helene Fischer,Von hier bis unendlich,2006,Es gibt keinen Morgen danach
Schlager,Helene Fischer,Von hier bis unendlich,2006,Im Reigen der Gefühle
Schlager,Helene Fischer,Von hier bis unendlich,2006,Auf der Reise ins Licht
Schlager,Helene Fischer,So nah wie du,2007,Fantasie hat Flügel
Schlager,Helene Fischer,So nah wie du,2007,Du hast mein Herz berührt
Schlager,Helene Fischer,So nah wie du,2007,Mitten im Paradies
Schlager,Helene Fischer,So nah wie du,2007,So nah wie du
Schlager,Helene Fischer,So nah wie du,2007,Hinter den Tränen
Schlager,Helene Fischer,So nah wie du,2007,Du fängst mich auf und lässt mich fliegen
Schlager,Helene Fischer,So nah wie du,2007,Mut zum Gefühl
Schlager,Helene Fischer,So nah wie du,2007,Das Karussell in meinem Bauch
Schlager,Helene Fischer,So nah wie du,2007,Im Kartenhaus der Träume
Schlager,Helene Fischer,So nah wie du,2007,Zwischen Himmel und Erde
Schlager,Helene Fischer,So nah wie du,2007,Und ich vermisse dich auch
Schlager,Helene Fischer,So nah wie du,2007,Schatten im Regenbogenland
Schlager,Helene Fischer,So nah wie du,2007,Ich glaub dir hundert Lügen
Schlager,Helene Fischer,So nah wie du,2007,Wo das Leben tanzt
Schlager,Helene Fischer,Zaubermond,2008,Ewig ist manchmal zu lang
Schlager,Helene Fischer,Zaubermond,2008,Zaubermond
Schlager,Helene Fischer,Zaubermond,2008,Lass mich in dein Leben
Schlager,Helene Fischer,Zaubermond,2008,Jeden Morgen wird die Sonne neu geborn
Schlager,Helene Fischer,Zaubermond,2008,"Vergeben, vergessen und wieder vertraun"
Schlager,Helene Fischer,Zaubermond,2008,Jeder braucht eine Insel
Schlager,Helene Fischer,Zaubermond,2008,Tanz noch einmal mit mir
Schlager,Helene Fischer,Zaubermond,2008,Hab den Himmel berührt
Schlager,Helene Fischer,Zaubermond,2008,Mal ganz ehrlich
Schlager,Helene Fischer,Zaubermond,2008,Wer will denn schon vernünftig sein
Schlager,Helene Fischer,Zaubermond,2008,Frag nicht wo und wann
Schlager,Helene Fischer,Zaubermond,2008,Gefühle wie Feuer und Eis
Schlager,Helene Fischer,Zaubermond,2008,Meine Welt
Schlager,Helene Fischer,Zaubermond,2008,König der Herzen
Schlager,Helene Fischer,Zaubermond,2008,Willkommen in meinen Träumen
Schlager,Helene Fischer,Zaubermond,2008,Das absolute Herzgefühl
Schlager,Helene Fischer,So wie ich bin,2009,Beim Träumen ist alles erlaubt
Schlager,Helene Fischer,So wie ich bin,2009,Das letzte Wort hat die Liebe
Schlager,Helene Fischer,So wie ich bin,2009,Tausend gute Gründe
Schlager,Helene Fischer,So wie ich bin,2009,Wolkenträumer
Schlager,Helene Fischer,So wie ich bin,2009,Hundert Prozent
Schlager,Helene Fischer,So wie ich bin,2009,Lieb mich
Schlager,Helene Fischer,So wie ich bin,2009,Einmal berührt - für immer verführt
Schlager,Helene Fischer,So wie ich bin,2009,Ist doch kein Wunder
Schlager,Helene Fischer,So wie ich bin,2009,Es gibt ihn also doch
Schlager,Helene Fischer,So wie ich bin,2009,Die Sonne kann warten
Schlager,Helene Fischer,So wie ich bin,2009,"Du lässt mich sein, so wie ich bin"
Schlager,Helene Fischer,Für eine Tag ,2011,Villa in der Schlossallee
Schlager,Helene Fischer,Für eine Tag ,2011,Du kennst mich doch
Schlager,Helene Fischer,Für eine Tag ,2011,Nur wer den Wahnsinn liebt
Schlager,Helene Fischer,Für eine Tag ,2011,Wär heut mein letzter Tag
Schlager,Helene Fischer,Für eine Tag ,2011,Copilot
Schlager,Helene Fischer,Für eine Tag ,2011,Lass diese Nacht nie mehr enden
Schlager,Helene Fischer,Für eine Tag ,2011,Die Hölle morgen früh
